title	fact
Did Obamas Buy $15M Waterfront Mansion on Martha’s Vineyard?	Barack and Michelle Obama are purchasing a $15 million waterfront mansion on Martha’s Vineyard.
Did Obama’s EPA Director Say the Clean Power Plan Would Have ‘No Effect’ on Carbon Emissions?	Former EPA Administrator Gina McCarthy said the Obama administration's Clean Power Plan would have little or no effect on carbon dioxide emissions.
Did Obama’s Portraitist Paint an Image of a Black Woman Holding the Severed Head of a White Person?	Kehinde Wiley, the artist who painted former President Barack Obama's official portrait, also produced a pair of paintings depicting black women decapitating white people.
Did Officials in Georgia Stop a Bus Filled with Black Seniors Going to Vote?	On 15 October 2018, Jefferson County officials stopped a bus filled with seniors from a county-run senior center from going to vote.
Did Ohio Replace Lethal Injection with a Head-Ripping-Off Machine?	The state of Ohio has replaced lethal injection with a head-ripping machine as a form of execution.
Did Ohio’s 12th Congressional District Have 170 Fraudulent ‘Voters’ Over 116 Years Old?	Ohio's 12th Congressional District recorded 170 fraudulent votes cast in August 2018 by persons with birthdates earlier than 1902.
Did Oklahoma Pass a Bill Making It Legal to Deny LGBT Adoptions?	Oklahoma passed legislation that would potentially allow agencies to refuse adoptions involving LGBT parents.
Did One of Roy Moore’s Accusers ‘Forge’ Yearbook Evidence Against Him?	Roy Moore accuser Beverly Young Nelson 'forged' Moore's signature and inscription in her high school yearbook.
Did Oprah Winfrey Say She Brought Young Women to Harvey Weinstein’s House?	Oprah Winfrey brushed off accusations against Hollywood producer Harvey Weinstein, saying 'this is just how it is' for people who want to get ahead in the media industry.
Did Oprah Winfrey Say ‘Old White People Have to Die’?	Oprah Winfrey said that in order for the problem of racism to be solved, old white people have to die.
Did Oprah Winfrey ‘Buy Control of Fox News’?	In July 2019, Oprah Winfrey bought a controlling stake in Fox News and took over the network.
Did Oregon’s Anti-Gay Cake Bakers Win the Lottery?	The Christian owners of a bakery in Oregon won the lottery shortly after they were fined $135,000 for declining to make a cake for a same-sex wedding.
Did Oregon’s Governor Sign a ‘Gun Confiscation’ Law?	In August 2017, Oregon governor Kate Brown signed a 'gun confiscation' law.
Did Outback Steakhouse Announce They Are Banning Supporters of President Donald Trump?	Outback Steakhouse announced that supporters of President Donald Trump are barred from their restaurants.
Did Outback Steakhouse Kick Out a Policeman Because it is a ‘Gun Free Zone’?	Outback Steakhouse is a 'gun free zone' and a police officer was ejected for carrying his service weapon.
Did Palestinians Dance at the UN After Nikki Haley Threatened to Cut Aid?	A video shows Palestinian lawmakers dancing in response to Nikki Haley's threat to cut aid to the country in the wake of a controversial decision to move the U.S. embassy to Jerusalem.
Did Papa John’s Withdraw Their NFL Advertising Over Anthem Protests?	As of November 2017, Pizza chain Papa John's had pulled their advertising from the National Football League.
Did Parents Sue Planned Parenthood for Child Support Over a Failed Abortion?	A couple sued Planned Parenthood for child support over a failed abortion.
Did Parkland Shooter Nikolas Cruz Register to Vote as a Republican from Jail?	Parkland Shooter Nikolas Cruz registered to vote as a Republican from jail.
Did Pastor David Platt Pray for President Trump During a Church Visit?	Pastor David Platt prayed for President Donald Trump during the latter's impromptu visit to his church.
Did Pastor John Hagee Say that God Made Lesbians ‘Flat’?	Pastor John Hagee said that 'God made all lesbians flat' so they can be identified by 'normal people'.
Did Pastor Scarborough Blame Women’s Impure Thoughts for Breast Cancer?	Pastor Rick Scarborough asserted that breast cancer is caused by women's 'dirty' thoughts.
Did Pat Robertson Say Feminism Encourages Women to “Kill Their Children”?	Pat Robertson said the feminist agenda encourages women to 'kill their children, practice witchcraft, and become lesbians.'
Did Pat Robertson Say Global Warming Won’t Affect America Because God Is Protecting Trump?	Televangelist Pat Robertson said 'God came to me in a dream and said that if America elected Trump, he would protect us from the effects of global warming.'
Did Pat Robertson Say the Notre Dame Fire Was the Result of ‘Hell Bubbling over with Homosexuals’?	Pat Robertson said that the Notre Dame fire was the result of 'hell bubbling over with homosexuals.'
Did Pat Robertson Say ‘Melania’s Nude Pics Are Pure Art’?	TV evangelist Pat Robertson described nude photographs of Melania Trump as 'pure art that shows the beauty of God's work.'
Did Pat Robertson Say ‘Staring’ at Melania Trump ‘Can Heal Gays’?	Televangelist Pat Robertson said 'staring' at First Lady Melania Trump could 'cure gays.'
Did Patrick Henry Say the Constitution Is ‘For the People to Restrain the Government?’	Patrick Henry once said, 'The Constitution is not a document for the government to restrain the people: it is an instrument for the people to restrain the government.'
Did Patrick Moore, a Doubter of Anthropogenic Climate Change, Co-Found Greenpeace?	"Patrick Moore, who once described anthropogenic climate change as “fake science” on the morning opinion program ""Fox and Friends,"" co-founded the environmental action group Greenpeace."
Did Patrick Moore, a Doubter of Anthropogenic Climate Change, Co-Found Greenpeace?	Patrick Moore, who once described anthropogenic climate change as “fake science” on the morning opinion program 'Fox and Friends,' co-founded the environmental action group Greenpeace.
Did Patriots QB Tom Brady Flip Off the NFL Commissioner?	Tom Brady flashed his middle finger while being presented with the 2017 Super Bowl MVP trophy.
Did Paul George’s Jersey Number Change After He Executed a 360 Dunk?	A video shows Paul George's jersey number changing from 13 to 14 after he performed a 360 dunk.
Did Paul Gosar’s Siblings Appear in a Political Ad Endorsing His Opponent?	Six of Arizona Rep. Paul Gosar's siblings appeared in a political commercial endorsing his opponent, David Brill.
Did Paul Krugman Say the Internet’s Effect on the World Economy Would Be ‘No Greater Than the Fax Machine’s’?	Economist Paul Krugman wrote that by 2005, it would become clear that the Internet's effect on the economy is no greater than the fax machine's.
Did Paul McCartney Die in 1966?	Musician Ringo Starr admitted that Paul McCartney passed away in 1966 and was replaced by a lookalike.
Did Paul Ryan Nominate Joel Osteen for House Chaplain?	Paul Ryan nominated televangelist Joel Osteen as the new House Chaplain.
Did Pelosi Say It’s ‘Dangerous’ to Let Voters Decide Trump’s Fate in 2020?	U.S. House Speaker Nancy Pelosi said it's dangerous to let voters decide President Donald Trump's fate in the 2020 election.
Did Penny Marshall Donate Her Estate to Trump’s 2020 Election Campaign?	The late Penny Marshall donated her entire estate to President Donald Trump's 2020 re-election campaign.
Did People Contract Herpes After Drinking Instagram Star Belle Delphine’s Bathwater?	More than 50 people contracted herpes from drinking bathwater sold to them by the Instagram star Belle Delphine, in July 2019.
Did People Put Sunscreen on Their Eyes During the Solar Eclipse?	During the August 2017 solar eclipse, some people in California applied sunscreen to their eyeballs in a mistaken attempt to protect their eyes from damage.
Did People Start Licking Toilets as a Protest Against Donald Trump?	People have begun licking toilets as a form of protest against United States President Donald Trump.
Did People ‘Attack’ the Father of a School Shooting Victim for Wearing a Donald Trump T-Shirt?	A significant number of internet users 'attacked' Andrew Pollack, a man mourning the death of his daughter, on the basis of his support for Donald Trump.
Did Pepsi Admit Aquafina Is Just Tap Water?	Pepsi admitted that Aquafina is just tap water.
Did Pepsi Omit ‘Under God’ from the Pledge of Allegiance?	A new Pepsi soda can design omitted the words 'under God' from the Pledge of Allegiance.
Did Pepsi ‘Admit’ Their Sodas Contain Cancer-Causing Ingredients?	Pepsi admitted that their soda contains cancer-causing ingredients.
Did Peter Fonda Suggest That Barron Trump Should Be Kidnapped?	In June 2018, the actor Peter Fonda suggested in a tweet that Barron Trump should be kidnapped, as a protest against the president's immigration policy.
Did Pfizer’s Vice President ‘Blow the Whistle’ on Gardasil?	The vice president of Pfizer said human papillomavirus vaccine Gardasil is 'deadly.'
Did Pharrell Williams Send President Trump a ‘Cease and Desist’ Letter for Using His Song ‘Happy’?	Lawyers for Pharrell Williams sent Donald Trump a 'cease and desist' letter after the president played the song 'Happy' before a speech on 27 October.
Did Philadelphia Eagles Fans Boo Santa Claus?	Fans in Philadelphia once booed and threw snowballs at Santa Claus.
Did Philadelphia Eagles Players Kneel During the National Anthem in 2017?	Players on the Philadelphia Eagles knelt in protest during the National Anthem throughout the 2017 regular NFL season.
Did Physicist Michio Kaku Say HAARP Caused Irma and Harvey?	Professor Michio Kaku said Hurricanes Harvey and Irma were caused by the United States Government modifying the weather.
Did Pierre Trudeau Say of Richard Nixon, ‘I Have Been Called Worse Things by Better People’?	When Canadian Prime Minister Pierre Trudeau learned that Richard Nixon had insulted him he responded, 'I have been called worse things by better people.'
Did Pipe-Bombing Suspect Cesar Sayoc Attend Donald Trump Rallies?	Photographs and videos show pipe-bombing suspect Cesar Sayoc in attendance at Donald Trump rallies.
Did Pipe-Bombing Suspect Cesar Sayoc Work at the Same Strip Club as Stormy Daniels, Proving a Hoax Conspiracy?	Cesar Sayoc and Stormy Daniels worked at the same Florida strip club, suggesting or proving their parts in an anti-Trump conspiracy theory.
Did Pizza Hut Pressure Workers Evacuating From Irma’s Path to Stay at Work?	Pizza Hut pressured employees in Florida to return to work 'within 72 hours' if they evacuated because of tropical storm Irma.
Did Planned Parenthood Defend Bill Cosby?	Planned Parenthood issued a statement in defense of Bill Cosby after the comedian was convicted of felony sexual assault.
Did Planned Parenthood Donate $30 Million to Democrats to Influence the Midterm Elections?	Planned Parenthood is spending $30 million in taxpayer subsidies to influence the outcome of the 2018 midterm elections.
Did Planned Parenthood Harvest the Brain from a Living, Late-Term Fetus?	A video documents that Planned Parenthood harvested the brain from a living, late-term aborted fetus.
Did Planned Parenthood Say There Should Be a Disney Princess Who Had an Abortion?	A Planned Parenthood affiliate published a tweet opining that there should be a Disney princess who had an abortion.
Did Planned Parenthood ‘Team Up’ with Satanists to Promote Abortion Rights in Missouri?	Planned Parenthood and the Satanic Temple have worked together to oppose laws restricting abortion rights in Missouri.
Did Podesta Say Clinton Has Cabbage Odor, Used Pejorative Term for Developmentally Disabled?	WikiLeaks documents revealed campaign head John Podesta unflatteringly described Hillary Clinton's personal hygiene and intellect.
Did Poland’s First Lady Refuse to Shake President Trump’s Hand?	At an event in Warsaw on 6 July 2017, Polish First Lady Agata Kornhauser-Duda refused to shake hands with Donald Trump.
Did Police Discover a Meth Lab in a Back Room of an Alabama Walmart?	Police discovered a drug lab in the back room of a Walmart in Decatur, Alabama.
Did Police Find 19 Female Bodies in Freezers with ‘Black Lives Matter’ Carved into Their Skin?	Police in Los Angeles discovered 19 bodies in a freezer with 'Black Lives Matter' carved into the victims' skin.
Did Police Find Heroin Disguised as SweeTarts?	Police have discovered heroin disguised as SweeTarts brand candy.
Did Police Find a Baby Alive, 12 Days After a London Tower Block Fire?	A baby was found alive in Grenfell Tower 12 days after a major fire in June 2017.
Did Police Give Instructions for Citizens Rescuing Dogs from Hot Cars?	Police have officially approved a series of steps you can take to avoid criminal charges when breaking a window to save a dog or baby from a hot car.
Did Police Shoot a White Coal Miner, Thinking He Was Black?	Kentucky police shot a white coal miner after mistaking him for a black man.
Did Police Shut Down a Nightclub for Fostering Cannibalism?	Police in Oregon, Singapore, Australia, and/or Trinidad and Tobago arrested a nightclub owner for killing patrons and selling them as meat.
Did Police in Delaware Shoot and Kill a Man in a Wheelchair?	Police in Wilmington, Delaware shot and killed a man who was in a wheelchair at the time of the encounter.
Did Police in Georgia Force a Man to Cut Off His Own Dog’s Head?	Police in Crawford County, Georgia forced local man Joe Nathan Goodwin, under threat of arrest, to cut off his own dog's head for rabies testing after police fatally shot the dog.
Did Police in Paris Confiscate ‘Baguette Knives’ from Fuel Tax Protesters?	Photographs showed knives disguised as baguettes seized from fuel tax protesters by Paris police.
Did Pop Rocks and Soda Kill ‘Little Mikey’?	Little Mikey of LIFE cereal fame died from the explosive effects of mixing Pop Rocks candy with soda pop.
Did Pope Francis Allow a Little Girl to Sit with Him During a Homily?	Pope Francis allowed a little girl with Down Syndrome to sit with him as he gave a homily.
Did Pope Francis Forgive 4,444 Pedophile Priests in Australia?	Pope Francis forgave 4,444 'pedophile priests' in Australia and participated in a coverup of their crimes.
Did Pope Francis Say Gun Owners ‘Can’t Call Themselves Christians Anymore’?	"In May 2018, Pope Francis said people who own guns were ""hypocrites"" and could no longer call themselves Christians."
Did Pope Francis Say Gun Owners ‘Can’t Call Themselves Christians Anymore’?	In May 2018, Pope Francis said people who own guns were 'hypocrites' and could no longer call themselves Christians.
Did Pope Francis Say It Was Better to Be an Atheist Than a Bad Catholic?	Pope Francis said that it was 'better to be an atheist than a bad Catholic.'
Did Pope Francis Say It’s Not Necessary to Believe in God?	Pope Francis said it's not necessary for one to believe in God in order to be a good person.
Did Pope Francis Say ‘Exposing Pedophile Priests Is Satan’s Work’?	In September 2018, Pope Francis said, in effect, that exposing pedophile priests is Satan's work.
Did Pope Francis Slap Away President Trump’s Hand?	A video shows Pope Francis slapping away President Trump's hand.
Did Pope Francis ‘Grant Immunity’ to a Vatican Diplomat Caught With Child Pornography?	Pope Francis granted diplomatic immunity to a Vatican diplomat suspected of child pornography offenses in the United States.
Did Pope Francis ‘Request’ Marriage Rights for Catholic Priests?	In November 2017, Pope Francis called for the right to marry for Catholic priests.
Did Portland, Oregon, ‘Ban Urinals in Public Buildings’?	In 2019, city officials in Portland, Oregon, announced or implemented a prohibition on urinals in public buildings in the city.
Did Pres. Trump Say Kim Jong Un ‘Is Smarter and Would Make a Better President’ Than Joe Biden?	"U.S. President Donald Trump said: ""Kim Jong Un is smarter and would make a better President than Sleepy Joe Biden."""
Did Pres. Trump Say Kim Jong Un ‘Is Smarter and Would Make a Better President’ Than Joe Biden?	U.S. President Donald Trump said: 'Kim Jong Un is smarter and would make a better President than Sleepy Joe Biden.'
Did President Barack Obama Congratulate Putin on His 2012 Win?	President Obama congratulated Vladimir Putin for Russia's election results in 2012, a diplomatic move for which President Trump was criticized in 2018.
Did President Bush Call a Reporter a ‘Major League Asshole’?	President Bush once referred to a reporter as a 'major league asshole.'
Did President Bush Cite Actor Bob Denver as His Role Model?	President George W. Bush cited actor Bob Denver as his role model.
Did President Bush Pose with a Plastic Turkey?	President Bush posed with a plastic turkey while visiting U.S. troops in Iraq on Thanksgiving in 2003.
Did President Donald Trump Allow the Violence Against Women Act to Expire?	On 30 September 2018, the administration of President Donald Trump allowed the Violence Against Women Act to expire.
Did President Donald Trump Amend an Executive Order to Recall 1,000 Retired Air Force Pilots?	President Trump amended Executive Order 13223, recalling 1,000 retired Air Force pilots in a 'mini draft' and in preparation for imminent war.
Did President Donald Trump Appoint the Man Who Killed Cecil the Lion to a Wildlife Conservation Council?	The Trump administration appointed Walter Palmer, famed for killing Cecil the Lion in 2015, to a newly-formed wildlife conservation council.
Did President Donald Trump Ban ‘Full Face’ Veils?	"President Trump announced intent to ban ""full face"" veils in public places, an act presumably targeting Muslim women."
Did President Donald Trump Ban ‘Full Face’ Veils?	"President Trump announced intent to ban ""full face"" veils in public places, an act presumably targeting Muslim women. "
Did President Donald Trump Ban ‘Full Face’ Veils?	President Trump announced intent to ban 'full face' veils in public places, an act presumably targeting Muslim women.
Did President Donald Trump Block Jennie Willoughby on Twitter?	President Donald Trump blocked Jennie Willoughby, one of the ex-wives of former White House staff secretary Rob Porter, on Twitter.
Did President Donald Trump Call Senator Antonio Trillanes IV Trillanes a ‘Little Narco?’	President Donald Trump called Philippines lawmaker Antonio Trillanes IV a 'little narco'.
Did President Donald Trump Donate His Entire $400,000 Salary to Rebuild Military Cemeteries?	In the summer of 2018, President Donald Trump donated his entire $400,000 annual salary to the Department of the Interior for the purpose of rebuilding military cemeteries.
Did President Donald Trump End Public Access to ‘Puppy Mill’ Inspection Reports?	The Trump administration blocked public access to USDA reports on safety and hygiene standards at facilities where animals are kept and bred.
Did President Donald Trump Host the NRA on the Anniversary of the Sandy Hook Massacre?	President Donald Trump hosted the National Rifle Association at the White House on the anniversary of the Sandy Hook massacre.
Did President Donald Trump Install a ‘Golf Simulator’ in the White House?	In early 2019, President Donald Trump bought and installed a golf simulator in the White House.
Did President Donald Trump Overturn Farm Water Regulations, Causing an E. Coli Outbreak?	An autumn 2018 outbreak of E. coli linked to romaine lettuce was caused by a decision by President Trump to reverse existing rules on agricultural water inspection.
Did President Donald Trump Run TV Ads Asking Border Wall Supporters to Call an 800 Number?	In January 2019, President Donald Trump ran a television commercial that urged supporters of his proposed border wall to call an 800 number and take part in a survey.
Did President Donald Trump Salute a North Korean General?	While greeting North Korean dignitaries during his summit meeting with Chairman Kim Jong Un, President Trump returned the military salute of a North Korean general.
Did President Donald Trump Sign an Executive Order on Climate Change?	Donald Trump signed an executive order naming climate change as a threat 'both to the economy and national security.'
Did President Donald Trump Slap the Mayor of Mexico City?	A video shows President Donald Trump slapping the mayor of Mexico City.
Did President Donald Trump Target a Democratic State Senator’s Family for Deportation?	President Donald Trump has targeted the family of California Senate President Pro Tempore Kevin de León for deportation.
Did President Eisenhower Say If a Political Party Doesn’t Advance a Moral Cause, Then It Is Merely a Conspiracy to Seize Power?	President Eisenhower said that a political party must be dedicated to the advancement of a moral cause, otherwise it is just a conspiracy to seize power.
Did President Lyndon B. Johnson Applaud the Smothers Brothers for Mocking Him?	President Lyndon B. Johnson sent a letter to the Smothers Brothers for making Americans laugh by mocking him on their show.
Did President Nixon Hide Proof of Alien Life in a Time Capsule?	President Richard Nixon hid a time capsule in the White House containing evidence of alien life and human contact with extraterrestrials.
Did President Nixon Say Watergate Details Were ‘Illegally’ Leaked by Deep Throat?	During the Watergate scandal, President Nixon blamed all of the controversy on the illegality of the actions of leaker 'Deep Throat.'
Did President Obama Award Himself a Distinguished Public Service Medal?	President Obama awarded himself the Department of Defense Medal for Distinguished Public Service.
Did President Obama Ban Muslims from Entering the United States in 2011?	President Obama banned immigration from Iraq for six months in 2011, but the media buried the story.
Did President Obama Ban the Military from Using the Word ‘Christmas’?	President Obama issued an order banning U.S. military personnel from using the word 'Christmas.'
Did President Obama Bow to Ayatollah Khamenei?	A photograph shows President Barack Obama bowing to Iran's supreme leader Ali Khamenei.
Did President Obama Cancel the National Day of Prayer?	President Obama has cancelled the National Day of Prayer.
Did President Obama Decline to Lay Wreaths on Memorial Day?	Barack Obama was the only U.S. president not to lay a wreath at Arlington National Cemetery on Memorial Day.
Did President Obama Enforce an Islamic Prayer Opening in the U.S. House?	President Obama 'enforced' an Islamic opening prayer in the U.S. House of Representatives.
Did President Obama Make Millions from ‘Obamacare’ Royalties?	President Obama trademarked the name 'Obamacare' and receives royalties every time the term is used.
Did President Obama Once Spend $65,000 on Hot Dogs?	A leaked email proves that President Obama once spent $65,000 of taxpayer money on hot dogs.
Did President Obama Order Flags Lowered for Whitney Houston, But Not Chris Kyle?	President Obama did not mention the death of Chris Kyle or Nancy Reagan, but ordered flags flown at half-staff for Whitney Houston.
Did President Obama Order Mother’s Day Be Used to Celebrate Abortions?	President Obama issued an order for abortions to be celebrated on Mother's Day.
Did President Obama Plea Bargain Gun Trafficker Dontray Mills?	A man named Dontray Mills was convicted of multiple gun trafficking offenses but was pardoned by President Obama.
Did President Obama Say We Deserved 9/11?	President Obama said that the United States deserved being attacked by terrorists on 9/11 because we didn't respect Islam.
Did President Obama Say ‘Americans Must Surrender to the New World Order’?	President Obama told an audience in Europe ordinary Americans are 'too small-minded to govern their own affairs' and should 'surrender their rights' to an 'all-powerful sovereign.'
Did President Obama Say ‘I Can’t Believe I Have to Miss a Good Day of Golf’ for July 4?	An open microphone caught President Obama muttering caustic comments about the 4th of July holiday.
Did President Obama Snub Justice Anton Scalia’s Funeral to Play Golf?	President Obama snubbed the funeral of Supreme Court Justice Antonin Scalia in order to play golf.
Did President Obama Use the Quran to Take His Oath of Office?	A photograph shows President Obama taking the oath of office with his hand on a Quran.
Did President Obama ‘Stiff’ the Wrong Waiter?	President Obama failed to tip a steakhouse waiter who was actually a prominent restauranteur.
Did President Trump Alter the United States Constitution?	President Donald Trump changed the constitution to read 'citizens' instead of 'persons.'
Did President Trump Announce Plans to End the ‘Meals on Wheels’ Program?	President Donald Trump has announced budget cuts that would end the Meals on Wheels program.
Did President Trump Assist Rescuers in Pulling Hurricane Victims from Floodwaters?	A photograph shows President Donald Trump reaching out to rescue a Harvey flooding victim.
Did President Trump Ban ‘Feliz Navidad’ from the White House?	President Trump banned the song 'Feliz Navidad' from the White House.
Did President Trump Ban ‘Sharia Law’ in the U.S.?	President Donald Trump banned 'Sharia Law' in the United States.
Did President Trump Bestow $100 Million Upon Flint, Michigan?	The Environmental Protection Agency awarded $100 million to Flint, Michigan, at the behest of President Trump.
Did President Trump Break Protocol in His Meeting with Queen Elizabeth?	Donald Trump broke royal protocol by arriving late to meet Queen Elizabeth, failing to bow, and walking in front of her.
Did President Trump Cancel Obama’s Muslim ‘Ritual’?	Donald Trump canceled various White House measures accommodating Islamic prayers in the building, upsetting President Obama.
Did President Trump Cancel Protections for Whales and Sea Turtles?	In June 2017, President Donald Trump canceled federal protections for whales and sea turtles
Did President Trump Criticize Canadian Prime Minister Justin Trudeau’s Social Media Use?	President Donald Trump criticized Prime Minister Justin Trudeau for excessive Facebook usage.
Did President Trump Declare 4 October ‘Bring Your Bible to School Day’?	President Donald Trump declared 4 October 'Bring Your Bible to School Day.'
Did President Trump Decry Babies Being ‘Born in the Ninth Month’?	President Trump said that a number of state laws allow a baby 'to be born from his or her mother’s womb in the ninth month.'
Did President Trump Delete Tweets That Referred to Immigrants as “Invaders”?	"After the 2019 El Paso shooting, President Trump deleted tweets that referred to immigrants as ""invaders."""
Did President Trump Delete Tweets That Referred to Immigrants as “Invaders”?	After the 2019 El Paso shooting, President Trump deleted tweets that referred to immigrants as 'invaders.'
Did President Trump Donate His First-Quarter 2018 Salary to the Department of Veterans Affairs?	In May 2018 President Trump donated one-fourth of his $400,000-per-year salary to the Department of Veterans Affairs.
Did President Trump Ease Sanctions Against Russia’s Intelligence Agency As a ‘Gift’ to Putin?	President Trump lifted sanctions against Russia as a 'gift' to Putin.
Did President Trump Enact a 90-Day Ban on Childhood Vaccinations?	President Trump signed an Executive Order banning childhood vaccinations for 90 days.
Did President Trump Establish a ‘Religious Office’ in the White House?	In May 2018, President Donald Trump established a 'religious office' to give religious groups a 'voice in government.'
Did President Trump Experience Diarrhea on a Golf Course?	A photograph shows Donald Trump with a diarrhea stain on his golf pants.
Did President Trump Fire White House Butler Cecil Gaines?	President Trump fired longtime White House butler Cecil Gaines for disobedience.
Did President Trump Fist-Pump at a 9/11 Memorial?	A photograph shows President Trump making a 'fist-pumping' hand gesture at a memorial for 9/11 victims.
Did President Trump Flip Off an Astronaut Who Corrected Him?	U.S. President Donald Trump brandished his middle finger as a gesture of disdain, disrespect, or anger towards an astronaut who publicly corrected him.
Did President Trump Get Booed at the 2019 World Series?	U.S. President Donald Trump was booed by the crowd at the World Series in October 2019.
Did President Trump Give the Finger to the Italian Prime Minister?	President Trump raised his middle finger to make an obscene gesture at Italian Prime Minister Paolo Gentiloni during a meeting at the 2017 G7 summit in Italy.
Did President Trump Impatiently Dump Fish Food in a Japanese Koi Pond?	President Trump ignored instructions from Japan's Prime Minister Shinzo Abe and impatiently dumped fish food into a koi pond.
Did President Trump Insult Navajos on Twitter?	President Trump disparaged Navajos on Twitter on 20 January 2017.
Did President Trump Invoke the 25th Amendment to Remove Nancy Pelosi from Congress?	President Donald Trump invoked the 25th Amendment to remove Nancy Pelosi as House Speaker.
Did President Trump Issue an ‘Immediate Pardon’ for the Arrested Border Militia Leader in NM?	U.S. President Donald Trump issued a pardon for the leader of the armed group that held migrants at gunpoint in New Mexico.
Did President Trump Just Cancel Michelle Obama’s School Lunch Program?	President Trump cancelled Michelle Obama's school lunch program in October 2018.
Did President Trump Laud the ‘Abolition of Civil Rights’?	During remarks in February 2019, Trump touted the 'abolition of civil rights' as one of the greatest accomplishments in the history of the United States.
Did President Trump Make English the U.S. Official Language?	President Trump has established English as the official language of the United States.
Did President Trump Make These Pro-Life Remarks?	President Donald Trump said: “I have signed a letter to Congress to make clear that if they send any legislation to my desk that weakens the protection of human life, I will issue a veto … Every child is a sacred gift from God … Every life is worth protecting … We know that every life has meaning and that every life is worth protecting.”
Did President Trump Not Recite the Apostles’ Creed During President Bush’s Funeral?	President Trump did not recite the Apostles' Creed as other attendees did during George H.W. Bush's funeral.
Did President Trump Open National Parks and Wildlife Refuges for Coal Mining?	President Trump opened National Parks and wildlife refugees to coal mining.
Did President Trump Order Detained Immigrants to Wear Yellow Bracelets?	In 2018, President Donald Trump began a policy of forcing detained immigrants scheduled for criminal prosecution to wear identifying wristbands and yellow bracelets.
Did President Trump Order the Building of ‘Concentration Camps’?	President Trump has ordered the construction of concentration camps in the U.S.
Did President Trump Pay for Omarosa Manigault Newman’s Wedding?	President Donald Trump bore the cost of his then-adviser Omarosa Manigault Newman's April 2017 wedding.
Did President Trump Plagiarize His Commencement Speech from ‘Legally Blonde’?	A commencement speech delivered by President Trump at Liberty University in May 2017 bore remarkable similarities to one given by Reese Witherspoon's character in the 2001 film 'Legally Blonde.'
Did President Trump Profit from the U.S. Missile Strike Against Syria?	President Trump owns stock in Raytheon and directly profited from the use of their Tomahawk missiles in an April 2017 U.S. strike on a Syrian air base.
Did President Trump Remove White Supremacists from the Terror Watch Program?	President Trump has removed white supremacists from the goverment's terror watch list.
Did President Trump Remove a MLK Bust from the Oval Office?	Donald Trump had a bust of Marin Luther King, Jr. removed from display in the Oval Office on his first day in the White House.
Did President Trump Replace Washington Portrait with Vigo the Carpathian?	President Trump replaced a White House portrait of George Washington with a painting of Vigo the Carpathian.
Did President Trump Reverse President Obama’s Turkey Pardons?	President Trump ordered the execution of several turkeys pardoned by President Obama.
Did President Trump Revoke Gun Background Checks for Mentally Ill People?	President Trump signed a bill blocking Obama-era background checks that would have made it easier to flag mentally ill potential gun purchasers.
Did President Trump Ride in a Penis-Shaped Motorcade?	An image shows President Trump's motorcade riding in a penis formation.
Did President Trump Roll Back Rules Protecting Elderly at Nursing Homes?	President Trump rolled back rules protecting residents of nursing homes.
Did President Trump Save Two Cats After Hurricane Harvey?	An image shows President Trump rescuing two cats from a flooded area in Texas after Hurricane Harvey in August 2017.
Did President Trump Say If Soldiers Were ‘Real Patriots,’ They Wouldn’t Take a Pay Raise?	In a speech to U.S. military personnel, President Trump said if soldiers were real patriots, they wouldn't take a pay raise.
Did President Trump Say Pedophiles Will Get the Death Penalty?	President Trump has called for the death penalty for pedophiles.
Did President Trump Say Suicide Bombers Should Get the Death Penalty?	U.S. President Donald Trump said that suicide bombers should get the death penalty.
Did President Trump Say That ‘Faith Is More Powerful Than Government?’	President Donald Trump once said that 'faith is more powerful than government.'
Did President Trump Say U.S. Generals Were ‘Better Looking Than Tom Cruise, and Stronger’?	During a cabinet meeting, President Donald Trump recalled a previous meeting with U.S. military leaders, remarking that they were 'better looking than Tom Cruise, and stronger.'
Did President Trump Say the Dayton, Ohio, Mass Shooting Was in Toledo?	U.S. President Donald Trump referred to the mass shooting in Dayton, Ohio, in August 2019 as having happened in Toledo, Ohio.
Did President Trump Say ‘Eventually We Will Get Something Done’?	President Donald Trump said 'eventually we will get something done.'
Did President Trump Say ‘I Can Do My Job Without Any Intelligence Whatsoever?’	President Trump said, 'I can do my job without any intelligence whatsoever.'
Did President Trump Say “Everybody Would Be Very Poor” If He Were Impeached?	President Trump said that “everybody would be very poor” if he were impeached.
Did President Trump Scrap Plans for a Border Wall in Favor of a Dome?	President Trump has scrapped plans for constructing a wall along the U.S.-Mexico border in favor of a proposal for a dome.
Did President Trump Send Federal Troops, Armored Vehicles to Chicago?	A video shows federal troops in armored vehicles patrolling the streets of Chicago on President Trump's orders.
Did President Trump Send Feds to Raid Islamberg, New York?	In July 2017, President Trump dispatched federal investigators to the hamlet of Islamberg, New York, where they uncovered 'America's worst nightmare'.
Did President Trump Send Letters Lauding Middle Schoolers on Their ‘Succuess’?	The Trump administration sent a letter to recipients of the President's Education Award, misspelling the word 'success.'
Did President Trump Share a Photo of a ‘Bikers for Trump’ Member with a Nazi Tattoo?	"President Trump shared an image of a ""Bikers for Trump"" member with Nazi tattoos, one of those who visited him at his golf club in Bedminister."
Did President Trump Shut Down the White House Phone-In Comment Line?	President Trump's administration shut down the White House phone comment line.
